img_idx,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55
im502,0,0,0,0,22,17,3,0,5,4,4,3,3,2,2,2,3,3,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,7,4,3,3,3,5,8,0,0,0,15,23,22,0
im520,21,23,15,28,24,0,0,7,6,6,6,7,6,5,5,6,6,7,7,9,11,11,11,9,7,6,8,15,20,20,20,16,8,9,9,11,10,10,10,9,10,10,9,8,7,6,7,6,5,7,7,0,0,0,25,27
im529,0,0,28,26,0,0,0,23,9,0,0,0,0,0,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,12,11,12,11,12,13,13,14,0,0,0,25,13,5
im535,14,4,2,0,9,13,0,0,11,9,10,4,2,4,0,2,3,4,6,7,5,0,11,0,27,0,2,5,6,8,10,10,0,8,0,0,13,0,0,0,0,0,0,0,0,0,7,27,6,24,0,0,0,0,0,0
im542,0,13,13,0,0,0,0,0,14,0,14,15,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,8,18,15,18,15,21,25
im557,6,2,0,11,0,0,18,14,13,12,12,12,12,11,12,12,12,12,12,12,13,14,19,22,23,26,0,0,27,0,0,0,0,0,0,0,10,6,5,3,3,3,4,4,5,5,6,6,7,10,26,0,24,0,0,0
im569,0,0,26,11,10,9,9,8,8,8,9,10,11,12,13,14,15,13,13,11,11,10,9,11,15,19,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0
im572,28,24,0,0,25,15,10,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,8,9,0,0,0,0,0,10,10,9,8,9,8,7,7,7,0,23,22,0,0,0
im579,0,0,24,6,0,0,20,17,15,12,12,11,11,12,13,15,16,18,21,23,22,20,18,27,25,0,0,0,0,0,25,0,0,0,0,7,0,15,13,0,0,0,0,0,0,0,0,0,0,0,11,27,23,23,24,16
im586,25,0,10,0,25,0,18,16,14,13,11,11,12,12,12,10,11,9,9,8,8,7,7,7,3,6,14,18,19,21,22,20,14,14,0,16,17,17,13,9,5,4,3,2,2,4,2,0,2,0,0,24,8,10,5,12
im601,25,7,21,2,18,23,0,0,8,7,7,6,6,7,8,9,10,10,11,12,12,11,8,7,9,15,19,21,23,0,28,18,12,5,7,9,8,6,3,2,0,0,0,0,0,0,2,5,0,14,0,0,0,0,0,0
im616,18,18,18,22,0,0,7,4,3,3,3,3,3,3,4,5,5,7,9,10,11,13,12,8,6,9,13,21,23,23,22,8,9,11,14,15,17,18,18,19,19,19,18,17,17,17,16,17,18,0,0,0,0,0,0,0
im622,15,23,26,24,17,20,20,9,9,6,6,5,5,6,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,12,13,13,14,16,16,16,16,16,14,0,13,14,0,0,0,0,7,20,10,6
im624,0,26,24,16,13,21,16,10,0,0,0,7,0,0,7,7,0,9,0,0,0,0,0,0,0,0,0,21,22,21,20,12,9,8,8,8,0,0,0,0,0,0,0,8,8,8,0,0,0,4,0,20,25,11,19,0
im637,28,17,26,13,0,24,0,0,14,14,13,14,13,13,14,14,14,15,17,17,17,0,0,0,17,0,26,0,0,21,17,21,20,13,14,0,0,0,0,0,0,0,17,17,17,16,16,0,18,19,21,0,0,0,0,16
im652,20,23,0,24,25,24,24,17,8,0,0,0,0,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,5,0,3
im681,0,0,0,0,0,0,15,11,10,10,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,3,4,4,5,28,0,0,0,0,0,23,18,22,0,0
im687,0,0,0,0,0,0,0,11,2,0,0,8,7,6,7,6,5,6,7,8,9,12,13,14,13,13,14,0,26,0,0,27,16,11,11,11,12,12,13,13,13,12,12,12,11,10,10,9,8,9,27,0,0,0,0,0
im688,0,0,0,0,0,0,0,0,0,5,4,4,4,4,3,2,3,5,5,8,9,11,16,18,17,17,0,0,6,6,8,7,0,0,0,0,0,0,0,0,0,11,12,11,11,11,9,9,10,12,0,0,0,0,0,0
im719,0,0,21,0,0,0,0,26,24,5,4,25,25,2,26,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,24,24,0,0,0,0,28,18
im744,5,8,3,0,3,0,0,0,0,0,15,15,13,15,16,15,15,15,15,0,14,12,10,0,0,8,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
im750,0,0,12,8,0,0,0,12,9,6,7,7,8,8,9,0,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,0,12,12,10,0,0,8,8,0,0,0,0,0,8,11,21,28,0,0
im780,0,0,14,18,0,0,0,19,17,14,13,12,12,14,15,17,18,18,19,21,0,0,17,15,16,18,22,24,22,18,12,0,0,0,0,10,8,6,5,3,3,2,2,3,3,5,5,5,9,3,17,14,13,15,20,0
im781,24,0,20,0,0,0,0,0,7,7,8,8,9,9,10,11,11,10,9,7,6,5,4,5,5,4,0,0,0,28,22,24,24,21,16,12,11,10,7,5,2,2,0,2,2,3,4,6,7,0,23,0,0,26,18,0
im784,25,0,0,21,10,0,0,0,7,7,6,6,7,6,7,6,7,8,8,10,0,0,0,14,0,15,19,0,25,24,19,13,13,15,16,0,18,0,0,0,15,0,0,12,11,10,0,0,0,0,0,0,13,2,14,0
im785,15,11,15,16,11,6,0,0,12,11,10,10,10,11,13,14,15,15,14,13,12,11,10,5,0,0,0,0,8,14,5,2,5,0,0,0,0,0,10,0,0,0,0,0,0,3,3,4,6,3,16,12,21,0,0,20
im789,0,0,2,0,0,0,14,12,10,9,8,7,7,7,10,12,13,15,15,14,12,10,11,12,16,18,25,24,20,13,12,0,0,0,0,7,7,5,3,5,5,4,3,3,0,0,3,2,4,5,0,9,18,20,28,19
im804,0,0,0,0,0,0,0,5,4,3,0,0,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,9,15,0,0,0,0,0,0
im815,0,0,0,0,0,0,0,0,16,0,7,4,7,0,2,7,6,7,9,10,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,8,7,5,5,4,4,3,3,3,3,4,2,2,0,0,0,18,23,20
im819,0,28,23,18,19,24,7,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,26,22,5,9,6,7,8,10,11,10,11,10,9,10,9,8,8,8,13,0,25,0,0,0,17,9,0
